Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,66833,-,-,India,22.35,87.25,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2011,1,1,0,30,0,0,0,0,0,0,14,18.69857013694218,1009.8018798828125,74.71715973941244,169.3659832087256,3.711375286155299,0.0,38.89212417602539,1.2971206903457642,0
2011,1,1,1,30,0,0,0,0,0,0,13,18.209946735836468,1009.161376953125,75.60109036044251,155.57852360891536,3.7094818962569187,0.0,36.84694290161133,1.2786240577697754,0
2011,1,1,2,30,0,0,0,0,0,0,13,17.769693894464012,1008.7765502929688,76.50585306706019,141.84733370244948,3.7042623751521377,0.0,32.831077575683594,1.1327801942825317,0
2011,1,1,3,30,0,0,0,0,0,0,13,17.3902013527333,1008.8856811523438,78.2725416446212,128.2281555951536,3.6976294717271543,0.0,21.294334411621094,0.958922266960144,0
2011,1,1,4,30,0,0,0,0,0,0,13,17.055577632903407,1009.3419189453125,81.41847541551284,114.78528393637708,3.691428895598889,0.0,4.931327819824219,0.9237861633300781,0
2011,1,1,5,30,0,0,0,0,0,0,12,14.295317175967796,1004.9231567382812,87.33559840584957,101.6281379604183,2.2707149571828764,0.0,253.12315368652344,2.74288272857666,0
2011,1,1,6,30,1,0,1,4,7,4,13,15.710322217659666,1005.7691040039062,84.00819111226006,88.84840184658071,2.373457220684181,0.0,259.15838623046875,2.528426170349121,0
2011,1,1,7,30,112,149,147,101,229,153,14,18.040800091453377,1006.2389526367188,78.0702304194619,76.69372912512955,2.4852524040182384,0.0,266.4334716796875,2.019315242767334,0
2011,1,1,8,30,173,408,342,173,408,342,16,20.901489306478766,1006.7774047851562,73.77698367981414,65.51479654931555,2.6064978296166865,0.0,273.9526672363281,1.5434495210647583,0
2011,1,1,9,30,216,515,505,216,515,505,16,24.139602305742358,1006.451904296875,63.17622572189826,55.91568485122852,2.7200043974955377,0.0,286.2034606933594,1.8026925325393677,0
2011,1,1,10,30,240,573,617,240,573,617,17,26.046941363140718,1005.3345336914062,58.77562991899525,48.84676328356238,2.8274007526868177,0.0,298.015869140625,1.982405662536621,0
2011,1,1,11,30,249,595,666,249,595,666,18,26.88946334866165,1004.1038818359375,58.955989876558256,45.50927184330179,2.9324227073436098,0.0,307.7477111816406,1.9780675172805786,0
2011,1,1,12,30,245,585,647,245,585,647,18,27.016427720991715,1003.026123046875,60.15159065486672,46.712662465124275,3.035934201606097,0.0,316.2038269042969,2.011523485183716,0
2011,1,1,13,30,228,542,561,228,542,561,18,26.411916530695123,1002.3765258789062,62.06987460841541,52.14280320204681,3.1473798245915203,0.0,324.5588684082031,2.1960012912750244,0
2011,1,1,14,30,195,458,419,195,458,419,18,24.884713281212953,1002.1615600585938,66.24425630428667,60.67205036241939,3.262324047324925,0.0,332.0211181640625,2.6833999156951904,0
2011,1,1,15,30,155,234,231,138,315,240,18,22.93559211838766,1002.879638671875,75.114930051991,71.18995671641773,3.3873469409009065,0.0,339.0422058105469,3.164809465408325,0
