Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,66833,-,-,India,22.35,87.25,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2003,1,1,0,30,0,0,0,0,0,0,7,12.68913551641674,1011.585693359375,68.58146575265977,169.3636881705563,1.0661297616974912,0.0,330.26885986328125,2.125786542892456,0
2003,1,1,1,30,0,0,0,0,0,0,6,12.176162217637852,1010.9693603515625,69.51329447587433,155.5767218393225,1.0393472892036772,0.0,331.78155517578125,2.206493377685547,0
2003,1,1,2,30,0,0,0,0,0,0,6,11.631742233635805,1010.25390625,70.76065517038813,141.84590065696818,1.0089352026133127,0.0,333.5274963378906,2.2634077072143555,0
2003,1,1,3,30,0,0,0,0,0,0,6,11.106764027273925,1010.0240478515625,72.24053370236506,128.2270938402661,0.9986204150149197,0.0,335.3529968261719,2.3019096851348877,0
2003,1,1,4,30,0,0,0,0,0,0,6,10.60658982205041,1010.3055419921875,73.75811178855763,114.78462956231746,0.9988824825102309,0.0,338.13323974609375,2.3323757648468018,0
2003,1,1,5,30,0,0,0,0,0,0,9,14.605823522127707,1009.5957641601562,72.11234608640564,101.62800692069534,2.9335876606042786,0.0,42.56090545654297,1.644246220588684,0
2003,1,1,6,30,1,0,1,5,12,5,9,14.693634975665304,1010.704833984375,72.52281413164086,88.84881129606309,2.99795850693239,0.0,31.736698150634766,1.7073763608932495,0
2003,1,1,7,30,51,0,51,94,281,159,9,14.565765885181747,1012.0611572265625,73.38174663953644,76.69485871304595,3.0350845383133374,0.0,19.025978088378906,1.797361969947815,0
2003,1,1,8,30,163,12,168,154,471,349,10,14.769561494961692,1012.6053466796875,76.82451760258066,65.51681115487798,3.028845723606654,0.0,9.9625244140625,1.8682578802108765,0
2003,1,1,9,30,266,71,306,189,580,514,11,15.181545784919138,1012.6260986328125,80.27983674189831,55.91879393825949,2.9846265111910433,0.0,5.815528869628906,1.9782613515853882,0
2003,1,1,10,30,307,418,583,208,640,629,12,16.12738607929225,1012.3056030273438,78.4639768175452,48.85111250635909,2.9240743286747195,0.0,8.704429626464844,2.2375521659851074,0
2003,1,1,11,30,355,295,562,216,664,682,12,16.85312745747723,1011.7991333007812,75.74116886279208,45.51471599869072,2.81621852103515,0.0,14.229705810546875,2.4780335426330566,0
2003,1,1,12,30,214,659,666,214,659,666,12,17.86571581900199,1011.0195922851562,73.10466821932172,46.71865203711651,2.6937119428609093,0.0,21.238548278808594,2.683436870574951,0
2003,1,1,13,30,200,620,581,200,620,581,12,18.624950533368803,1010.9086303710938,69.05879602363694,52.14871887711749,2.582882436274936,0.0,26.775344848632812,2.844242572784424,0
2003,1,1,14,30,174,540,438,174,540,438,12,18.65182249220436,1010.7474975585938,67.77404531899045,60.677549559811936,2.50582803761898,0.0,28.10962677001953,2.772768259048462,0
2003,1,1,15,30,128,394,255,128,394,255,12,17.885308420729302,1010.9814453125,71.55365818437693,71.19494427323374,2.431687649959103,0.0,27.59972381591797,2.5094263553619385,0
2003,1,1,16,30,47,15,49,48,144,66,12,15.969047143009618,1011.3934936523438,78.10186653824202,82.94074960838063,2.371619830837339,0.0,27.808177947998047,2.3059372901916504,0
2003,1,1,17,30,0,0,0,0,0,0,11,15.105550774336564,1012.0081787109375,79.90229987446874,95.45679041239427,2.3075807382309077,0.0,27.425296783447266,2.0549893379211426,0
2003,1,1,18,30,0,0,0,0,0,0,11,14.599850861310244,1012.6110229492188,80.53310138232915,108.46489985217084,2.236756431506181,0.0,24.167823791503906,1.7350504398345947,0
2003,1,1,19,30,0,0,0,0,0,0,10,14.159670524480418,1012.828125,81.05334456915952,121.79726528052697,2.149042361601553,0.0,17.03606414794922,1.4906005859375,0
2003,1,1,20,30,0,0,0,0,0,0,10,13.760161665376131,1012.9730834960938,82.11102936590136,135.3450743844313,2.047041032748367,0.0,13.816032409667969,1.5146585702896118,0
2003,1,1,21,30,0,0,0,0,0,0,10,13.371718573009389,1013.1978149414062,82.95686280413862,149.0338958331393,1.9699707499198444,0.0,12.857696533203125,1.6556655168533325,0
2003,1,1,22,30,0,0,0,0,0,0,10,12.998495382417957,1013.05859375,83.76539187679424,162.80768147063353,1.9150192651762106,0.0,11.691978454589844,1.8595080375671387,0
2003,1,1,23,30,0,0,0,0,0,0,10,12.652856838581442,1013.0270385742188,84.42326947945932,176.58405135370273,1.8682417415591352,0.0,10.8380126953125,2.1067655086517334,0
2003,1,2,0,30,0,0,0,0,0,0,9,12.315903690388893,1012.4939575195312,85.06713834700375,169.50201508401278,1.8168974360769417,0.0,9.953140258789062,2.3495776653289795,0
2003,1,2,1,30,0,0,0,0,0,0,9,11.990943950399412,1012.2807006835938,85.66212657153113,155.70603862851232,1.752264193042116,0.0,8.843048095703125,2.534679412841797,0
2003,1,2,2,30,0,0,0,0,0,0,9,11.658443323148333,1012.1452026367188,87.02526821002792,141.96791125826218,1.6738360134300518,0.0,3.3960342407226562,2.670612335205078,0
2003,1,2,3,30,0,0,0,0,0,0,9,11.357925117772368,1011.9878540039062,88.68421549887327,128.3413225537917,1.579350489380059,0.0,358.281005859375,2.8487327098846436,0
2003,1,2,4,30,0,0,0,0,0,0,9,11.091885600542128,1012.5869140625,90.3326938574029,114.88987449204512,1.4855454319755914,0.0,354.3853454589844,3.046584129333496,0
2003,1,2,5,30,0,0,0,0,0,0,9,10.8699738865389,1013.5999145507812,91.97260015732809,101.70306101451311,1.4035632709434482,0.0,351.2986145019531,3.2201123237609863,0
2003,1,2,6,30,1,0,1,5,13,6,10,12.274532615390797,1014.9514770507812,86.5621836311123,88.91260812688103,1.3354182120971865,0.0,348.42376708984375,3.2741105556488037,0
2003,1,2,7,30,107,210,156,97,308,168,11,14.722210320896693,1016.17919921875,81.07429772026299,76.74408916702514,1.279904301987451,0.0,345.69293212890625,2.871183156967163,0
2003,1,2,8,30,168,465,361,158,507,368,13,18.00353648870373,1016.7074584960938,72.63669964021298,65.5461365101588,1.2397319703026388,0.0,346.74737548828125,2.5134165287017822,0
2003,1,2,9,30,192,602,530,194,618,541,12,21.017615311286818,1016.1098022460938,58.77892861820816,55.920792353664964,1.2266860780627644,0.0,354.2435302734375,2.7174012660980225,0
2003,1,2,10,30,213,678,660,213,678,660,12,22.662699007363585,1015.1864624023438,53.17425589930013,48.81726703966423,1.2296289233770255,0.0,356.0967102050781,2.6070175170898438,0
2003,1,2,11,30,221,700,713,221,700,713,12,23.577038898426963,1014.2052001953125,50.537306842188876,45.44058614635441,1.2421891375491088,0.0,356.2636413574219,2.5136053562164307,0
2003,1,2,12,30,219,692,695,219,692,695,12,23.862280213421514,1013.1761474609375,49.35282246507175,46.610597375885945,1.2589454369838426,0.0,357.8621826171875,2.5085179805755615,0
2003,1,2,13,30,203,628,590,205,652,606,12,23.49212498952494,1012.721923828125,49.78669489736721,52.02077102407488,1.272130459220279,0.0,0.9746780395507812,2.5735130310058594,0
2003,1,2,14,30,173,564,451,178,569,458,12,22.551163924527486,1012.4693603515625,51.31447831949089,60.54169721728853,1.2784936393643205,0.0,5.673820495605469,2.8286514282226562,0
2003,1,2,15,30,139,387,265,132,420,268,12,20.807261150817737,1012.5922241210938,60.561066689405784,71.05789061544307,1.262579729274502,0.0,10.6226806640625,2.884303331375122,0
