Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,66833,-,-,India,22.35,87.25,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2010,1,1,0,30,0,0,0,0,0,0,12,16.1809793444981,1003.5072631835938,77.82669410616386,169.39356208968758,1.8992419140475658,0.0,211.51754760742188,2.8330278396606445,0
2010,1,1,1,30,0,0,0,0,0,0,12,15.839754784664024,1003.2886352539062,80.10344789391971,155.6043986631362,1.929516727278228,0.0,221.50338745117188,2.9546782970428467,0
2010,1,1,2,30,0,0,0,0,0,0,12,15.410114740065922,1003.1815185546875,82.35510122169262,141.87182887849107,1.9909828190357581,0.0,231.7716522216797,3.00738263130188,0
2010,1,1,3,30,0,0,0,0,0,0,12,14.99226635859668,1003.3250732421875,84.33953644214118,128.2511782249839,2.070779121156234,0.0,240.17234802246094,2.9986917972564697,0
2010,1,1,4,30,0,0,0,0,0,0,12,14.623397796690938,1004.2445678710938,85.87209788208948,114.80660123912378,2.1677399405008217,0.0,247.2171173095703,2.9195022583007812,0
2010,1,1,5,30,0,0,0,0,0,0,10,12.027979071871982,1010.4871826171875,91.67967045546008,101.64717208995519,1.3620097478748825,0.0,350.7359924316406,3.066114902496338,0
2010,1,1,6,30,1,0,1,5,13,5,11,13.298492627670043,1011.255859375,86.95001496507867,88.86470320492778,1.2546923003801735,0.0,346.3935546875,2.8824143409729004,0
2010,1,1,7,30,105,206,153,100,290,167,12,15.775432607613084,1011.9359741210938,78.85375725675684,76.70655910306014,1.1482912451372491,0.0,342.90960693359375,2.340763807296753,0
2010,1,1,8,30,173,418,347,166,487,368,13,19.095093284462507,1012.6092529296875,71.41978409278244,65.52282582656913,1.0606004540321237,0.0,343.3492431640625,1.8612587451934814,0
2010,1,1,9,30,210,543,515,205,600,541,12,22.235056560648275,1012.5616455078125,54.000411409742746,55.917086528936316,0.9897433896742627,0.0,344.9985656738281,2.346949815750122,0
