Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,66833,-,-,India,22.35,87.25,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2012,1,1,0,30,0,0,0,0,0,0,8,14.327249202783037,1006.388427734375,66.85035687281457,169.44960098322179,1.6599259811032159,0.0,305.77294921875,1.2536245584487915,0
2012,1,1,1,30,0,0,0,0,0,0,8,13.878512276286642,1006.6002807617188,68.78375355623851,155.65669596675048,1.696800094258431,0.0,313.69366455078125,1.5111545324325562,0
2012,1,1,2,30,0,0,0,0,0,0,8,13.450568468982453,1006.5133666992188,71.22267042147605,141.9211021965757,1.7210938598882177,0.0,317.85516357421875,1.6230368614196777,0
2012,1,1,3,30,0,0,0,0,0,0,8,13.05320956429415,1006.9627075195312,74.3834853316328,128.29723689583034,1.732776139841034,0.0,320.037109375,1.6554474830627441,0
2012,1,1,4,30,0,0,0,0,0,0,8,12.667033871359251,1007.4548950195312,77.4456734227449,114.84895444902298,1.7363102291466639,0.0,323.5708312988281,1.67811918258667,0
2012,1,1,5,30,0,0,0,0,0,0,13,16.778585909811795,1010.187255859375,79.56615233867933,101.60889633216773,3.6831145396283542,0.0,348.8045959472656,1.0279719829559326,0
2012,1,1,6,30,1,0,1,3,4,3,15,18.156589129208328,1010.6332397460938,85.65340381920439,88.83182344027789,3.6647202927637035,0.0,336.5255432128906,1.2222837209701538,0
2012,1,1,7,30,99,39,108,100,204,147,15,20.035127685502857,1011.4004516601562,73.10689358668664,76.68061015362113,3.650142577773373,0.0,329.89862060546875,1.2339956760406494,0
2012,1,1,8,30,175,380,332,175,380,332,16,23.03645745857517,1012.2766723632812,66.65129534093035,65.50643726120373,3.6636084888101537,0.0,335.6951904296875,1.1364666223526,0
2012,1,1,9,30,288,153,374,219,489,493,16,26.04628069906505,1011.741943359375,55.4423102523716,55.91390531421645,3.6696153884676512,0.0,345.323974609375,1.3114007711410522,0
2012,1,1,10,30,291,468,599,244,549,605,16,27.593768637343885,1010.6558227539062,52.42086309562121,48.853687557016556,3.6750898782064163,0.0,351.1236572265625,1.3580315113067627,0
2012,1,1,11,30,253,572,655,253,572,655,17,28.325237529326273,1009.2540283203125,51.61858603913203,45.526088981014404,3.6784167761382123,0.0,1.1457748413085938,1.3497506380081177,0
2012,1,1,12,30,359,235,521,250,564,637,17,28.45175672208751,1008.3387451171875,51.30097307217311,46.737955843050365,3.6779130144791057,0.0,12.510879516601562,1.3896989822387695,0
2012,1,1,13,30,313,274,482,233,522,553,17,27.982585332083147,1007.818359375,51.82575503228078,52.17322753413648,3.6631432587300843,0.0,20.963951110839844,1.4803591966629028,0
2012,1,1,14,30,246,100,295,199,439,414,16,26.8725785306317,1007.921630859375,53.68847904650027,60.70467488467952,3.6368784659945286,0.0,19.940399169921875,1.725246548652649,0
2012,1,1,15,30,155,142,201,140,298,236,17,25.254878954383514,1007.9716796875,61.397497087905236,71.22310202186098,3.618947540267449,0.0,17.01335906982422,2.0371310710906982,0
2012,1,1,16,30,17,0,17,45,86,56,16,23.30308759752711,1008.7899169921875,66.5994102000477,82.96913693011523,3.570263334458271,0.0,14.751274108886719,2.3707330226898193,0
2012,1,1,17,30,0,0,0,0,0,0,16,22.384471583570587,1009.2930297851562,67.7005456301884,95.4849617178705,3.510831371355576,0.0,14.074806213378906,2.588890790939331,0
2012,1,1,18,30,0,0,0,0,0,0,15,21.738142615804122,1009.841064453125,68.71619112541434,108.49268047040154,3.4470296479394316,0.0,16.523780822753906,2.604133129119873,0
2012,1,1,19,30,0,0,0,0,0,0,15,21.16141237220944,1010.1995849609375,69.88809855290219,121.82454131886288,3.387512851500271,0.0,21.39073944091797,2.502779006958008,0
2012,1,1,20,30,0,0,0,0,0,0,15,20.621772076830098,1010.1007080078125,71.0671669687186,135.3717642496201,3.34560078204545,0.0,28.98885726928711,2.3143227100372314,0
2012,1,1,21,30,0,0,0,0,0,0,14,20.016347682554795,1009.721435546875,72.10474647467889,149.05990799361797,3.2919311432727962,0.0,39.499507904052734,2.102234363555908,0
2012,1,1,22,30,0,0,0,0,0,0,14,19.463023642254143,1009.5004272460938,73.12185203919746,162.83281517307242,3.256873285540475,0.0,53.12852096557617,1.8944653272628784,0
2012,1,1,23,30,0,0,0,0,0,0,14,18.99798507078293,1009.0237426757812,74.13382606280604,176.6059119954066,3.223626670738756,0.0,70.75821685791016,1.7156128883361816,0
2012,1,2,0,30,0,0,0,0,0,0,13,18.498035106133955,1009.192138671875,74.78562328290035,169.47693196548053,3.188113894982494,0.0,85.0168228149414,1.4985778331756592,0
2012,1,2,1,30,0,0,0,0,0,0,13,17.964129680026815,1009.0567626953125,75.79773729002956,155.68224433574784,3.1454377404354457,0.0,88.51078033447266,1.1623486280441284,0
2012,1,2,2,30,0,0,0,0,0,0,13,17.380221804623716,1009.1447143554688,78.95973250204182,141.94519757931954,3.0949042324228984,0.0,54.592098236083984,0.7984753251075745,0
2012,1,2,3,30,0,0,0,0,0,0,12,16.9014319482244,1009.7129516601562,77.34595921076547,128.3197826522386,3.1230610150053764,0.0,9.502471923828125,1.2127649784088135,0
2012,1,2,4,30,0,0,0,0,0,0,13,16.517812609843872,1010.373046875,79.73390468840186,114.86971108039441,3.194580577161626,0.0,2.0484771728515625,1.8952383995056152,0
2012,1,2,5,30,0,0,0,0,0,0,13,16.2177367906217,1011.0804443359375,82.17217484747454,101.68459128267469,3.2835224840889015,0.0,5.153770446777344,2.4000778198242188,0
2012,1,2,6,30,1,0,1,3,4,3,14,17.292149721383282,1011.7814331054688,81.80308275557428,88.89639897120173,3.350504591667617,0.0,10.096092224121094,2.5900118350982666,0
2012,1,2,7,30,113,99,136,100,205,147,14,19.324886763830875,1012.4877319335938,76.0053465525328,76.73071214452708,3.402880452530084,0.0,15.783012390136719,2.2043468952178955,0
2012,1,2,8,30,203,95,243,175,382,333,15,22.475234001254194,1012.7972412109375,66.03707144807038,65.53677178121194,3.4557488410122836,0.0,32.617271423339844,2.1082656383514404,0
2012,1,2,9,30,249,25,264,219,491,495,16,24.872421790369003,1012.3971557617188,57.94894137996525,55.917063302004934,3.4347052148304287,0.0,48.490814208984375,2.068265438079834,0
2012,1,2,10,30,267,13,276,244,552,608,16,26.215025936994834,1011.1834716796875,54.53400430710429,48.82113742058524,3.40929331572993,0.0,62.21222686767578,1.782047986984253,0
2012,1,2,11,30,306,55,345,254,576,659,16,26.98973303891114,1009.6220703125,52.62676491006408,45.453312617003284,3.3933522361802724,0.0,79.79959869384766,1.5295807123184204,0
2012,1,2,12,30,361,308,573,251,568,641,16,27.150422744066418,1007.9885864257812,52.36438831655782,46.63117740967747,3.3866919802613697,0.0,101.37823486328125,1.4877246618270874,0
2012,1,2,13,30,317,243,467,234,527,558,16,26.72379413294624,1007.333740234375,53.485457256725546,52.04636577928948,3.362688419010876,0.0,120.46693420410156,1.5381217002868652,0
2012,1,2,14,30,200,444,418,200,444,418,16,25.82629661693204,1006.9450073242188,56.01721517948486,60.569685421613784,3.350796278332995,0.0,132.90277099609375,1.5344932079315186,0
2012,1,2,15,30,125,15,130,142,302,240,16,24.577555804191775,1007.0519409179688,61.346551291975715,71.0867070414046,3.3664290861989414,0.0,137.63209533691406,1.3428324460983276,0
2012,1,2,16,30,15,0,15,47,89,58,17,23.176679284365036,1007.5947265625,70.49187899115687,82.83446945291392,3.4050187629665376,0.0,134.95236206054688,1.1238986253738403,0
2012,1,2,17,30,0,0,0,0,0,0,17,22.631650346695835,1008.4931030273438,74.06282833586157,95.35332319286465,3.46005647963729,0.0,131.71377563476562,1.1007651090621948,0
2012,1,2,18,30,0,0,0,0,0,0,18,22.248803763584135,1009.0949096679688,77.75409984400109,108.36465567847938,3.5162874907325397,0.0,133.5542449951172,1.221624732017517,0
2012,1,2,19,30,0,0,0,0,0,0,16,21.892876480169377,1009.5157470703125,71.11388104863202,121.7003983909201,3.565566752477397,0.0,139.40711975097656,1.4030174016952515,0
2012,1,2,20,30,0,0,0,0,0,0,15,21.588112131191963,1009.6637573242188,69.90250174173858,135.2517119374883,3.580246820821094,0.0,152.22425842285156,1.4840013980865479,0
