Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,66833,-,-,India,22.35,87.25,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2002,1,1,0,30,0,0,0,0,0,0,10,15.935603599113847,1008.1234741210938,68.76815554809876,169.3912912905564,2.6774412573968824,0.0,89.53276824951172,1.09751296043396,0
2002,1,1,1,30,0,0,0,0,0,0,9,15.77206370093353,1008.4785766601562,64.82542537627755,155.6026264377629,2.7214375724617854,0.0,63.098060607910156,1.2898873090744019,0
2002,1,1,2,30,0,0,0,0,0,0,8,15.516604054760819,1008.6177368164062,62.61818676279852,141.87043074620806,2.763709467403755,0.0,50.88505935668945,1.4888564348220825,0
2002,1,1,3,30,0,0,0,0,0,0,9,15.17624683323504,1008.3012084960938,68.59536803756276,128.25015714230324,2.8142997415352617,0.0,48.02524948120117,1.5976941585540771,0
2002,1,1,4,30,0,0,0,0,0,0,9,14.872859711121748,1008.7993774414062,70.29473472180753,114.80599383943812,2.866909423178928,0.0,47.41511535644531,1.6332645416259766,0
2002,1,1,5,30,0,0,0,0,0,0,5,11.439651699316073,1014.788818359375,67.48125238266111,101.6470953097652,1.2267796767742793,0.0,358.2770690917969,3.2221078872680664,0
2002,1,1,6,30,2,0,2,5,10,5,6,12.402757035370655,1015.88037109375,67.51192913805139,88.86517685379313,1.187183343760213,0.0,358.5986328125,3.1961958408355713,0
2002,1,1,7,30,105,209,154,101,283,166,7,14.595720016702728,1016.5174560546875,62.06593680038288,76.70776609071169,1.1300902254610188,0.0,358.926513671875,2.756671905517578,0
2002,1,1,8,30,168,431,347,167,481,367,9,17.394582689362153,1016.4718017578125,60.67104828118852,65.52492837577267,1.0657428110956113,0.0,358.68695068359375,2.2514986991882324,0
2002,1,1,9,30,230,457,487,206,596,541,10,20.904271814765252,1015.784912109375,50.027523336463695,55.92029571949352,0.9841709539932382,0.0,4.4653167724609375,2.378657102584839,0
2002,1,1,10,30,244,580,626,228,660,663,9,22.982483641854117,1014.6217041015625,41.91178745381913,48.84387681198725,0.9057873704055418,0.0,6.931663513183594,2.604841470718384,0
2002,1,1,11,30,253,596,671,237,686,718,9,23.804813630086187,1013.2872314453125,40.40682291726734,45.49757257540224,0.8448281903051514,0.0,3.9477310180664062,2.65206241607666,0
2002,1,1,12,30,231,636,668,234,679,700,9,24.020017133277292,1012.702880859375,40.13915263533692,46.693050154426345,0.8047465137989605,0.0,1.601776123046875,2.73983097076416,0
2002,1,1,13,30,217,588,579,219,639,612,9,23.629370165596185,1012.327880859375,40.595883834090415,52.11803146180799,0.7823186192952934,0.0,1.2814788818359375,2.858708381652832,0
2002,1,1,14,30,186,526,444,190,554,462,10,22.605574872578927,1012.3713989257812,45.09994800857918,60.64471600204334,0.7693764184758419,0.0,1.458740234375,2.7321524620056152,0
2002,1,1,15,30,146,340,256,139,402,269,11,20.87437632808303,1012.8317260742188,56.09710772742701,71.16164058287822,0.7652354545863261,0.0,2.4559173583984375,2.4301555156707764,0
2002,1,1,16,30,46,11,48,52,143,70,10,18.172982418557297,1013.1998291015625,59.019611347621904,82.90777297120242,0.7474131832773728,0.0,4.64013671875,2.270960807800293,0
2002,1,1,17,30,0,0,0,0,0,0,9,17.084691042710688,1013.706298828125,59.29438354135955,95.42447093292088,0.723810199920152,0.0,7.170616149902344,2.033928632736206,0
2002,1,1,18,30,0,0,0,0,0,0,8,16.356660539296627,1013.9600830078125,58.95078345216973,108.43340238904229,0.7020424288626814,0.0,8.729888916015625,1.7218031883239746,0
2002,1,1,19,30,0,0,0,0,0,0,7,15.64092549019631,1014.2340698242188,59.035646474057955,121.76666590594064,0.6840136315128568,0.0,6.522392272949219,1.462099313735962,0
2002,1,1,20,30,0,0,0,0,0,0,7,14.985753941315181,1014.1736450195312,59.48660553142342,135.31543149056114,0.6718545475340272,0.0,358.08489990234375,1.4964745044708252,0
2002,1,1,21,30,0,0,0,0,0,0,6,14.373866466161758,1014.33203125,59.720973251217494,149.00529761828705,0.6685129455927769,0.0,349.6798095703125,1.7866238355636597,0
2002,1,1,22,30,0,0,0,0,0,0,6,13.791536746051975,1014.251220703125,60.62282529381036,162.7803754451507,0.6750176751796613,0.0,343.49365234375,2.1773481369018555,0
2002,1,1,23,30,0,0,0,0,0,0,5,13.24652365044841,1014.6207885742188,61.390691891271686,176.56117873056624,0.6833515247231325,0.0,339.188232421875,2.539900302886963,0
2002,1,2,0,30,0,0,0,0,0,0,5,12.713075251321584,1014.59912109375,61.900120810599915,169.52919729617383,0.6867760418077841,0.0,335.58746337890625,2.8381526470184326,0
2002,1,2,1,30,0,0,0,0,0,0,5,12.170790448492312,1014.1301879882812,62.647782350145945,155.73139837387353,0.6848715218373477,0.0,332.5735168457031,3.071805953979492,0
2002,1,2,2,30,0,0,0,0,0,0,4,11.617070538317137,1013.9400024414062,63.716775734153494,141.99177825400517,0.6768190637838445,0.0,330.29443359375,3.2156057357788086,0
2002,1,2,3,30,0,0,0,0,0,0,4,11.058107363503268,1013.903076171875,65.0094087782996,128.36359730249447,0.6687020621028182,0.0,328.7868347167969,3.2899975776672363,0
2002,1,2,4,30,0,0,0,0,0,0,4,10.534200932582337,1014.509521484375,66.40019884097526,114.91031352437723,0.6508324256358385,0.0,328.41302490234375,3.3239142894744873,0
2002,1,2,5,30,0,0,0,0,0,0,4,10.023911516640624,1015.419921875,67.87466892402826,101.72127899861523,0.6259811135955881,0.0,328.75274658203125,3.2991888523101807,0
2002,1,2,6,30,1,0,1,5,10,6,5,11.33157276678719,1016.4285888671875,68.08220974206586,88.92799305031097,0.5974034633322857,0.0,329.578125,3.1977996826171875,0
2002,1,2,7,30,110,187,153,104,298,172,6,13.917532714817753,1017.2637939453125,62.18789012987912,76.75582706697934,0.5697273034839387,0.0,331.52001953125,2.6937954425811768,0
2002,1,2,8,30,167,455,356,170,501,378,9,16.758370853776114,1017.4601440429688,60.912920847137556,65.55289713445826,0.5509042559004665,0.0,338.46673583984375,2.023526430130005,0
2002,1,2,9,30,213,515,502,209,616,554,10,20.30615722037072,1016.7877197265625,54.39921233673758,55.920739120318416,0.5416682786410777,0.0,350.4304504394531,1.8306975364685059,0
2002,1,2,10,30,238,597,632,231,676,676,8,22.790127622046214,1015.5285034179688,39.95751138199504,48.808303175750176,0.5483134426309638,0.0,2.3193359375,2.103684902191162,0
2002,1,2,11,30,238,636,685,239,699,730,8,23.600975878895156,1014.3189697265625,38.16634034572826,45.421646686063724,0.5759411231595328,0.0,4.739143371582031,1.9982402324676514,0
2002,1,2,12,30,239,618,664,236,689,710,8,23.73347275303007,1013.5830078125,38.078854699810435,46.58331418288909,0.6088235800780828,0.0,4.3974456787109375,1.9671459197998047,0
2002,1,2,13,30,217,592,582,221,646,619,8,23.216712541703373,1013.4103393554688,38.78815720036424,51.98866426976481,0.6376802937168979,0.0,5.205680847167969,2.03114652633667,0
2002,1,2,14,30,186,528,446,191,561,468,8,22.17676836001357,1013.3953857421875,42.62221052462977,60.507744913884395,0.6545234711528636,0.0,5.2944793701171875,2.051255702972412,0
2002,1,2,15,30,161,302,260,141,409,274,10,20.43245128569629,1013.3284301757812,53.883484711112914,71.02373893590044,0.6575124222381062,0.0,4.639739990234375,1.9069072008132935,0
2002,1,2,16,30,43,18,46,54,149,73,8,17.644182152747078,1013.940673828125,56.4152526961813,82.77199191479949,0.6409995456753292,0.0,2.1741867065429688,1.7259701490402222,0
2002,1,2,17,30,0,0,0,0,0,0,7,16.533211857199262,1014.2169799804688,56.90945606172699,95.29204790784539,0.6191326543666805,0.0,358.289794921875,1.5243359804153442,0
2002,1,2,18,30,0,0,0,0,0,0,6,15.761727482199262,1014.37255859375,55.94419186871964,108.30486370881289,0.5993420463302767,0.0,351.5953063964844,1.3171749114990234,0
2002,1,2,19,30,0,0,0,0,0,0,6,15.052528102725432,1014.3558959960938,58.36662470892286,121.64223857374247,0.5867652277904524,0.0,339.6015930175781,1.1536189317703247,0
2002,1,2,20,30,0,0,0,0,0,0,5,14.40008809048851,1014.3876953125,54.61936995580279,135.19529291402938,0.5868471793082127,0.0,320.4482116699219,1.261884093284607,0
2002,1,2,21,30,0,0,0,0,0,0,5,13.798025809858643,1014.4733276367188,56.352975147303866,148.88975986891757,0.5910802817278692,0.0,309.40130615234375,1.5561671257019043,0
2002,1,2,22,30,0,0,0,0,0,0,4,13.245900320788394,1014.56982421875,56.7305259095277,162.67039101410091,0.6013760857683024,0.0,306.3271484375,1.7991324663162231,0
2002,1,2,23,30,0,0,0,0,0,0,4,12.739142772605021,1014.8993530273438,59.19073442912367,176.46874315496092,0.6168359133357729,0.0,305.28662109375,1.9921114444732666,0
2002,1,3,0,30,0,0,0,0,0,0,5,12.2799879367941,1014.9462280273438,62.245269401902824,169.63794217407715,0.6349085843327779,0.0,308.71539306640625,2.2513818740844727,0
2002,1,3,1,30,0,0,0,0,0,0,5,11.86441899242277,1014.7667236328125,62.90473389493001,155.83241144657978,0.646430656810702,0.0,315.8736572265625,2.6063308715820312,0
2002,1,3,2,30,0,0,0,0,0,0,4,11.415989406288077,1014.28466796875,63.86307449939357,142.08640129231316,0.6489722938504208,0.0,324.5284118652344,2.7710812091827393,0
2002,1,3,3,30,0,0,0,0,0,0,4,10.94501423399555,1014.3977661132812,65.15601679210442,128.4514054057732,0.6611300390686403,0.0,332.9069519042969,2.8214213848114014,0
2002,1,3,4,30,0,0,0,0,0,0,4,10.475296571740842,1014.4803466796875,66.46557382516525,114.99028718503736,0.668654209018431,0.0,339.7283935546875,2.8488900661468506,0
2002,1,3,5,30,0,0,0,0,0,0,4,10.016071746315902,1015.0584716796875,67.98754903735956,101.79181075959835,0.6740373856969817,0.0,345.39947509765625,2.801973819732666,0
2002,1,3,6,30,1,0,1,5,9,5,6,11.548902366351342,1015.7450561523438,69.34518860051101,88.986617722251,0.6784337284047094,0.0,350.14105224609375,2.673522710800171,0
2002,1,3,7,30,105,226,157,103,293,170,7,14.33101964672261,1016.1492919921875,63.585837034036174,76.79902907343723,0.6869583016447229,0.0,354.4007263183594,2.197373628616333,0
2002,1,3,8,30,168,454,356,169,493,373,9,17.00748435110114,1016.612060546875,62.14393391565819,65.57526302003863,0.7110242397802964,0.0,358.5084533691406,1.596703052520752,0
2002,1,3,9,30,201,568,520,208,605,547,10,20.90476380801846,1016.0836791992188,51.24671380946656,55.9147805564948,0.757239192440331,0.0,19.71875,1.5996272563934326,0
2002,1,3,10,30,223,630,639,229,664,667,10,23.19775363042146,1015.2779541015625,43.64553633341096,48.76562510139896,0.8158812797089268,0.0,36.32215118408203,1.827917456626892,0
2002,1,3,11,30,239,637,687,237,685,719,10,23.9701376324615,1014.08740234375,43.17824100588804,45.338351154684844,0.8815574318508763,0.0,39.3800163269043,1.7551114559173584,0
2002,1,3,12,30,241,627,673,234,675,699,10,24.13709072249293,1013.0055541992188,43.59132485315709,46.466699293429954,0.9473214811503191,0.0,40.95811462402344,1.6291568279266357,0
2002,1,3,13,30,238,514,556,219,633,610,11,23.726119886895276,1012.4763793945312,45.190084464319,51.85351821961658,1.0092703773077494,0.0,41.188053131103516,1.5051769018173218,0
2002,1,3,14,30,190,499,437,190,547,460,11,22.730938504574908,1012.51171875,48.51020526085948,60.36625007910942,1.0625142999637,0.0,34.93286895751953,1.3897560834884644,0
2002,1,3,15,30,148,327,256,139,397,270,12,21.122855587458844,1012.8197631835938,58.7927772670993,70.88244070557266,1.0792378653454051,0.0,22.60132598876953,1.2705246210098267,0
2002,1,3,16,30,50,18,53,54,144,72,10,18.347390125590948,1013.0487060546875,61.24271176695688,82.63375091086708,1.0706879403387555,0.0,7.299156188964844,1.2579246759414673,0
2002,1,3,17,30,0,0,0,0,0,0,9,17.291315222975925,1013.6759643554688,61.59644576906387,95.1579193832266,1.0505565760346078,0.0,353.45684814453125,1.3492553234100342,0
2002,1,3,18,30,0,0,0,0,0,0,9,16.61218342338981,1014.162109375,61.55010568206446,108.1752479944195,1.0250256524362678,0.0,343.47735595703125,1.4609020948410034,0
2002,1,3,19,30,0,0,0,0,0,0,8,16.008021983597644,1014.3524780273438,60.593280636178235,121.51726313716858,0.9973121104523086,0.0,337.1579284667969,1.5733304023742676,0
2002,1,3,20,30,0,0,0,0,0,0,8,15.405994049164178,1014.1405029296875,62.49730431758277,135.07505757934874,0.9707475077627171,0.0,333.81591796875,1.6377813816070557,0
2002,1,3,21,30,0,0,0,0,0,0,7,14.770704385297336,1013.4928588867188,62.35847484617043,148.77450470344667,0.9517317582111975,0.0,334.1106262207031,1.6861040592193604,0
2002,1,3,22,30,0,0,0,0,0,0,7,14.163887320992728,1013.119140625,64.5535451632214,162.5609451240374,0.9381020213537408,0.0,337.8049011230469,1.7643200159072876,0
2002,1,3,23,30,0,0,0,0,0,0,7,13.633634349106273,1013.2487182617188,65.89517767398198,176.3753491863853,0.9407768791894418,0.0,342.1820068359375,1.8591331243515015,0
2002,1,4,0,30,0,0,0,0,0,0,7,13.134466495019694,1013.3279418945312,68.18877716079506,169.7447427845554,0.9650210941327011,0.0,345.2848815917969,1.9569544792175293,0
2002,1,4,1,30,0,0,0,0,0,0,7,12.645196285787051,1013.3117065429688,70.17679751317323,155.93128295098046,1.0023474489129978,0.0,347.1862487792969,1.9802701473236084,0
2002,1,4,2,30,0,0,0,0,0,0,7,12.225778562347159,1013.4514770507812,71.73128168049206,142.1785574486124,1.039929177963822,0.0,350.1097412109375,1.9009267091751099,0
2002,1,4,3,30,0,0,0,0,0,0,7,11.921608056970399,1013.8253173828125,72.69004630029899,128.5363697932981,1.0632538801740457,0.0,352.9864807128906,1.771989107131958,0
2002,1,4,4,30,0,0,0,0,0,0,7,11.672220064820408,1014.4592895507812,73.41098527732555,115.06699461323564,1.070588277512571,0.0,356.97125244140625,1.6339280605316162,0
2002,1,4,5,30,0,0,0,0,0,0,6,11.404395264740344,1015.00390625,74.22202395943589,101.85859951029884,1.0656369854348893,0.0,2.261383056640625,1.4885469675064087,0
2002,1,4,6,30,1,0,1,4,8,5,9,13.0619735883472,1015.6321411132812,76.39609793161294,89.04097149496086,1.053322892718586,0.0,7.161109924316406,1.3365427255630493,0
2002,1,4,7,30,60,0,60,101,282,165,9,16.136533995553975,1015.9414672851562,66.57757735568663,76.83731556476644,1.0394628201114475,0.0,10.162712097167969,1.1235214471817017,0
2002,1,4,8,30,77,0,77,167,481,366,11,18.430280373076585,1016.1015625,64.51793596352167,65.59199127237338,1.0340818808577381,0.0,8.356758117675781,0.9986353516578674,0
