Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,66833,-,-,India,22.35,87.25,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2001,1,1,0,30,0,0,0,0,0,0,7,14.235170619235873,1013.3848876953125,64.65277560026608,169.418821254891,1.33418370505699,0.0,0.7162094116210938,1.5050498247146606,0
2001,1,1,1,30,0,0,0,0,0,0,7,13.662070371137531,1012.75146484375,64.78500702662757,155.6284304701494,1.3139811005391968,0.0,356.4725341796875,1.8179787397384644,0
2001,1,1,2,30,0,0,0,0,0,0,7,13.125769764698362,1012.8223876953125,67.78149596006298,141.89483613490913,1.2847539649993185,0.0,356.59527587890625,2.2788796424865723,0
2001,1,1,3,30,0,0,0,0,0,0,6,12.614683968210272,1012.9248046875,67.0539519083178,128.27307061688614,1.2699518935962624,0.0,357.152587890625,2.7570314407348633,0
2001,1,1,4,30,0,0,0,0,0,0,6,12.027296519653135,1013.8975830078125,66.86617297477846,114.82718109450758,1.2507279281468744,0.0,357.7351989746094,3.0934078693389893,0
2001,1,1,5,30,0,0,0,0,0,0,5,12.116994838115602,1008.006591796875,63.71269924263417,101.66597505243408,1.9977423852615421,0.0,303.80908203125,2.1425015926361084,0
2001,1,1,6,30,1,0,1,4,6,5,7,13.808360616303673,1008.6264038085938,64.99682989502186,88.8813870543788,2.0584508771216905,0.0,311.44097900390625,2.1258928775787354,0
2001,1,1,7,30,105,231,159,99,259,159,8,16.564149046400075,1009.5816040039062,57.713079020346136,76.7204031434401,2.1292486269706816,0.0,317.58489990234375,1.7583891153335571,0
2001,1,1,8,30,164,452,351,164,452,351,9,19.010892207672782,1010.2102661132812,55.558264213538635,65.53272069629313,2.213645256763851,0.0,323.4142150878906,1.2613312005996704,0
2001,1,1,9,30,207,540,510,202,562,517,10,22.712550553716426,1009.7978515625,46.11130979072678,55.9214208533075,2.2932260423235014,0.0,355.8022155761719,0.9667852520942688,0
